label,effective_dims,area
129,2.331316461004548,schaefer_129
278,2.3814472748698066,schaefer_278
131,2.3981180926182986,schaefer_131
165,2.3991573307857657,schaefer_165
45,2.4175540966709907,schaefer_45
333,2.487028847165575,schaefer_333
332,2.502920127741704,schaefer_332
337,2.536752588747425,schaefer_337
336,2.5389698589943115,schaefer_336
128,2.542555227227169,schaefer_128
127,2.5692333926668347,schaefer_127
130,2.619783623440713,schaefer_130
78,2.63967346850585,schaefer_78
208,2.6397074947039734,schaefer_208
223,2.6681124214770717,schaefer_223
393,2.695579508550072,schaefer_393
95,2.7422108667720018,schaefer_95
280,2.765962181000693,schaefer_280
164,2.7668556557307604,schaefer_164
199,2.7669751888900675,schaefer_199
53,2.7845397514787,schaefer_53
300,2.812961251407382,schaefer_300
194,2.813614191613987,schaefer_194
210,2.838903630006361,schaefer_210
335,2.844622496318313,schaefer_335
334,2.846461273262512,schaefer_334
75,2.854000393308408,schaefer_75
263,2.857815776096873,schaefer_263
281,2.8662808561565747,schaefer_281
366,2.876560768680634,schaefer_366
213,2.911698712555879,schaefer_213
73,2.929612043550108,schaefer_73
19,2.9341945869206545,schaefer_19
14,2.955416880391554,schaefer_14
162,2.980518900932888,schaefer_162
356,3.0020210136522136,schaefer_356
163,3.0033490653311032,schaefer_163
145,3.0365568713797613,schaefer_145
249,3.0643466576460443,schaefer_249
83,3.066743239571199,schaefer_83
132,3.071340417001005,schaefer_132
12,3.0728406855653,schaefer_12
365,3.0760733963792672,schaefer_365
193,3.0890611755748183,schaefer_193
24,3.104822937513029,schaefer_24
144,3.106108000225205,schaefer_144
285,3.1426341107814606,schaefer_285
84,3.1467379206996364,schaefer_84
264,3.152793812922134,schaefer_264
76,3.157336672503633,schaefer_76
77,3.167038055316148,schaefer_77
9,3.177498636997405,schaefer_9
62,3.1786139373722126,schaefer_62
276,3.182908448483308,schaefer_276
28,3.213325560272049,schaefer_28
66,3.2151423114008657,schaefer_66
82,3.253868221518432,schaefer_82
275,3.277527079879522,schaefer_275
288,3.2992382479649365,schaefer_288
68,3.334137126349212,schaefer_68
296,3.3600289611994785,schaefer_296
42,3.367268663150942,schaefer_42
113,3.3905738445328084,schaefer_113
85,3.395950950644296,schaefer_85
60,3.4056218277504664,schaefer_60
221,3.412960687188477,schaefer_221
299,3.4188239327472614,schaefer_299
353,3.4303598675248463,schaefer_353
88,3.435396271634602,schaefer_88
277,3.437772992343766,schaefer_277
226,3.4579819049362137,schaefer_226
373,3.458010025173194,schaefer_373
80,3.4665211873977912,schaefer_80
46,3.468901345259098,schaefer_46
362,3.4695622136239206,schaefer_362
81,3.481855812744898,schaefer_81
245,3.482019698646187,schaefer_245
284,3.483293669051156,schaefer_284
48,3.493835999546803,schaefer_48
50,3.497242563503773,schaefer_50
25,3.52242284401942,schaefer_25
364,3.525475249254999,schaefer_364
227,3.5409650231241443,schaefer_227
31,3.541564696771468,schaefer_31
18,3.582483923483134,schaefer_18
185,3.5859197053105745,schaefer_185
59,3.589767059823282,schaefer_59
279,3.5921643175886877,schaefer_279
52,3.6055297733335303,schaefer_52
253,3.6127453320705953,schaefer_253
29,3.629191178397117,schaefer_29
292,3.632856550836296,schaefer_292
247,3.632993402477882,schaefer_247
357,3.634423847936644,schaefer_357
282,3.651840589788846,schaefer_282
47,3.671084588358452,schaefer_47
13,3.67511569095781,schaefer_13
58,3.679157710291443,schaefer_58
43,3.680271365035163,schaefer_43
186,3.6881110156750094,schaefer_186
252,3.69051720624783,schaefer_252
257,3.695280581722476,schaefer_257
399,3.699137040121651,schaefer_399
74,3.700396101615374,schaefer_74
359,3.7061668812825177,schaefer_359
182,3.707248577494348,schaefer_182
54,3.7120284237200583,schaefer_54
230,3.714853009624076,schaefer_230
298,3.725509895068052,schaefer_298
248,3.727639237566664,schaefer_248
259,3.7353636725098456,schaefer_259
218,3.736300946129959,schaefer_218
6,3.7403700390716903,schaefer_6
318,3.756971886751694,schaefer_318
183,3.759010064513841,schaefer_183
255,3.7593916419616136,schaefer_255
79,3.7621020903461937,schaefer_79
283,3.7638287635442382,schaefer_283
396,3.7710650036433537,schaefer_396
112,3.7745962591453712,schaefer_112
147,3.777407932813104,schaefer_147
258,3.781090247058753,schaefer_258
27,3.796157816532323,schaefer_27
387,3.797260581941216,schaefer_387
266,3.797380527945695,schaefer_266
291,3.8133034796378817,schaefer_291
265,3.829248228516101,schaefer_265
269,3.829695604011051,schaefer_269
287,3.830440570747464,schaefer_287
23,3.8539722006334607,schaefer_23
196,3.855113971413647,schaefer_196
243,3.8595944616746585,schaefer_243
93,3.8616170098271296,schaefer_93
142,3.865663889725931,schaefer_142
358,3.8800753432863866,schaefer_358
133,3.880658949201455,schaefer_133
286,3.888382034893036,schaefer_286
225,3.891139545608066,schaefer_225
244,3.8931122390711934,schaefer_244
94,3.907137401609396,schaefer_94
11,3.9076633627419928,schaefer_11
394,3.9163659127850488,schaefer_394
141,3.934796983198492,schaefer_141
175,3.9366263334064304,schaefer_175
289,3.953017999543515,schaefer_289
56,3.959317368098757,schaefer_56
211,3.9700893984027616,schaefer_211
86,3.975215913285465,schaefer_86
8,3.975935587318976,schaefer_8
295,3.97854185692054,schaefer_295
65,3.9797055858748895,schaefer_65
180,3.9979290128890894,schaefer_180
87,4.003329820698623,schaefer_87
187,4.003445934698296,schaefer_187
171,4.012040312425287,schaefer_171
274,4.014916875215635,schaefer_274
190,4.016687872601671,schaefer_190
21,4.019949167152581,schaefer_21
219,4.027481897319725,schaefer_219
352,4.033901719856547,schaefer_352
30,4.039201547600593,schaefer_30
146,4.053092524238589,schaefer_146
197,4.059509120148173,schaefer_197
15,4.079911014473062,schaefer_15
67,4.090917518805705,schaefer_67
44,4.092539945720784,schaefer_44
139,4.111292095532309,schaefer_139
261,4.116421462262661,schaefer_261
386,4.121771195637639,schaefer_386
57,4.122369163374536,schaefer_57
315,4.1395448751163375,schaefer_315
138,4.144056832636606,schaefer_138
267,4.157786554303341,schaefer_267
217,4.159890843678187,schaefer_217
20,4.167482266748004,schaefer_20
400,4.171849707268579,schaefer_400
170,4.172232193128555,schaefer_170
61,4.192889702595719,schaefer_61
350,4.231499955300071,schaefer_350
91,4.241537867277846,schaefer_91
297,4.24157385723061,schaefer_297
51,4.241860406534501,schaefer_51
184,4.243023557624445,schaefer_184
251,4.2477593502332285,schaefer_251
256,4.2537478089611325,schaefer_256
181,4.261520491636238,schaefer_181
111,4.27746627080252,schaefer_111
195,4.279200123944987,schaefer_195
148,4.294409139903952,schaefer_148
167,4.295717735515537,schaefer_167
349,4.303522527432476,schaefer_349
215,4.305676802510119,schaefer_215
192,4.3090388870466025,schaefer_192
41,4.315447691285994,schaefer_41
270,4.318833093888785,schaefer_270
361,4.320556339182022,schaefer_361
290,4.331180813362042,schaefer_290
301,4.33653959198661,schaefer_301
92,4.351537855134086,schaefer_92
385,4.355537555228834,schaefer_385
135,4.398895695235408,schaefer_135
137,4.410319142417038,schaefer_137
398,4.413775795891195,schaefer_398
390,4.469435173872857,schaefer_390
17,4.469523956285994,schaefer_17
161,4.480486113069775,schaefer_161
339,4.508295358496948,schaefer_339
228,4.511212737234706,schaefer_228
222,4.516117923071635,schaefer_222
262,4.518239276310065,schaefer_262
389,4.53148231205331,schaefer_389
204,4.534624285834939,schaefer_204
241,4.538431837506962,schaefer_241
173,4.549827854299943,schaefer_173
103,4.560524570235224,schaefer_103
229,4.560893187709331,schaefer_229
63,4.570214069939491,schaefer_63
383,4.581145734760751,schaefer_383
71,4.589192300753189,schaefer_71
272,4.589317182887126,schaefer_272
198,4.5924326215627245,schaefer_198
314,4.593236418336407,schaefer_314
316,4.600243712237492,schaefer_316
346,4.608551052052269,schaefer_346
363,4.609433893208063,schaefer_363
348,4.624135195510609,schaefer_348
347,4.625232769885739,schaefer_347
189,4.627870927182388,schaefer_189
317,4.6475340943416965,schaefer_317
239,4.649334845405346,schaefer_239
5,4.659646411432074,schaefer_5
355,4.6654179005398175,schaefer_355
188,4.671802220747644,schaefer_188
158,4.6726316133949,schaefer_158
200,4.673190655898531,schaefer_200
136,4.683525994475853,schaefer_136
378,4.693899565994236,schaefer_378
344,4.694888312440282,schaefer_344
176,4.69501628497044,schaefer_176
309,4.706792835556098,schaefer_309
273,4.7136598961561385,schaefer_273
105,4.721219988754719,schaefer_105
342,4.721231190104491,schaefer_342
376,4.733745469595601,schaefer_376
154,4.7558922017548815,schaefer_154
354,4.759821855332936,schaefer_354
303,4.770258842601322,schaefer_303
351,4.770603626517989,schaefer_351
179,4.793806601311071,schaefer_179
246,4.794831291777842,schaefer_246
238,4.795849771235401,schaefer_238
106,4.795948531502519,schaefer_106
36,4.825010698575232,schaefer_36
55,4.8640659496477285,schaefer_55
250,4.873115593936746,schaefer_250
37,4.908816636281094,schaefer_37
206,4.923230970995816,schaefer_206
151,4.953256595426326,schaefer_151
172,4.991142870808188,schaefer_172
26,5.036376137425075,schaefer_26
242,5.064423885886713,schaefer_242
397,5.071821622942728,schaefer_397
160,5.072790551578945,schaefer_160
260,5.103649063125404,schaefer_260
109,5.133098983500145,schaefer_109
371,5.146174770205367,schaefer_371
391,5.150904856607023,schaefer_391
140,5.159610726335417,schaefer_140
134,5.1663422473016825,schaefer_134
224,5.184397217165986,schaefer_224
313,5.191467812987343,schaefer_313
294,5.221123337597672,schaefer_294
293,5.25081608077294,schaefer_293
268,5.259835669223477,schaefer_268
96,5.276186960060253,schaefer_96
110,5.28248624866835,schaefer_110
345,5.291674587397792,schaefer_345
90,5.293659174968086,schaefer_90
159,5.294734504196245,schaefer_159
99,5.296661110855858,schaefer_99
216,5.303292949802153,schaefer_216
143,5.351746119283684,schaefer_143
178,5.369821962622296,schaefer_178
235,5.380904838038654,schaefer_235
305,5.381460871569251,schaefer_305
38,5.420038896705117,schaefer_38
39,5.4350596260190684,schaefer_39
377,5.442494769746234,schaefer_377
209,5.447624224565639,schaefer_209
207,5.4599270527574015,schaefer_207
382,5.460497887648296,schaefer_382
384,5.460724636930316,schaefer_384
102,5.492229238667022,schaefer_102
89,5.528238321759067,schaefer_89
40,5.5452666213764426,schaefer_40
341,5.552841603892892,schaefer_341
72,5.563821684866073,schaefer_72
310,5.569472628581536,schaefer_310
322,5.573471768867683,schaefer_322
388,5.57686399238766,schaefer_388
64,5.6130463309754886,schaefer_64
220,5.663562561734682,schaefer_220
7,5.6658784437014775,schaefer_7
150,5.674567207398988,schaefer_150
191,5.674961007173872,schaefer_191
22,5.682375462203583,schaefer_22
237,5.690875437345585,schaefer_237
166,5.717199964774473,schaefer_166
395,5.734717467178415,schaefer_395
340,5.770253117396716,schaefer_340
149,5.77822302080925,schaefer_149
104,5.807580362307965,schaefer_104
101,5.8741051593058335,schaefer_101
312,5.876702546118902,schaefer_312
302,5.921664006669488,schaefer_302
49,5.983303199271653,schaefer_49
360,5.991048311813102,schaefer_360
304,5.99623450425419,schaefer_304
307,6.043998063074068,schaefer_307
70,6.116550917923864,schaefer_70
156,6.117130957219062,schaefer_156
343,6.14081019504186,schaefer_343
107,6.141871432318128,schaefer_107
338,6.160122353940642,schaefer_338
311,6.178378042029207,schaefer_311
375,6.187044767176026,schaefer_375
326,6.222054161040998,schaefer_326
34,6.256546046109335,schaefer_34
16,6.274845011796344,schaefer_16
374,6.282344718627928,schaefer_374
254,6.331559875514939,schaefer_254
308,6.334110344936357,schaefer_308
177,6.340957967165705,schaefer_177
108,6.369683820587299,schaefer_108
324,6.372565717534795,schaefer_324
236,6.382681677217734,schaefer_236
329,6.396365531816398,schaefer_329
380,6.438008793667896,schaefer_380
240,6.457508853463204,schaefer_240
157,6.47428839656919,schaefer_157
118,6.494615873598248,schaefer_118
214,6.512003576933815,schaefer_214
367,6.557114873768543,schaefer_367
174,6.56108705822735,schaefer_174
33,6.577751562239,schaefer_33
368,6.695557397209276,schaefer_368
168,6.700032962295551,schaefer_168
35,6.737649979603305,schaefer_35
306,6.760875528434191,schaefer_306
122,6.837234841480787,schaefer_122
155,6.887711633088167,schaefer_155
320,6.90000478481271,schaefer_320
3,6.914824604480659,schaefer_3
233,6.929497204450214,schaefer_233
121,6.940923395120579,schaefer_121
100,6.944233801125749,schaefer_100
152,6.961498501222022,schaefer_152
372,6.991890639766678,schaefer_372
203,7.000209184081897,schaefer_203
98,7.002861085587946,schaefer_98
234,7.134264151204498,schaefer_234
392,7.232375571416064,schaefer_392
119,7.282358980023965,schaefer_119
69,7.330037844407209,schaefer_69
232,7.350311989453769,schaefer_232
401,7.397198190197904,schaefer_401
126,7.418341758723456,schaefer_126
97,7.420550035762474,schaefer_97
120,7.443358991156896,schaefer_120
402,7.47189043331186,schaefer_402
327,7.510723253841378,schaefer_327
381,7.533250359684593,schaefer_381
125,7.621896933623241,schaefer_125
115,7.692308092760961,schaefer_115
10,7.772544024266928,schaefer_10
370,7.802513999886504,schaefer_370
212,7.852916282392591,schaefer_212
323,7.92837367790567,schaefer_323
331,7.98131602746991,schaefer_331
117,7.989916581228681,schaefer_117
153,8.022845338227276,schaefer_153
1,8.038799640303033,schaefer_1
369,8.049470082068558,schaefer_369
32,8.06556839524747,schaefer_32
231,8.197935723875444,schaefer_231
123,8.223233215446466,schaefer_123
124,8.324786837797868,schaefer_124
4,8.440164942306634,schaefer_4
201,8.497362658120474,schaefer_201
271,8.595500978223786,schaefer_271
169,8.845657723949566,schaefer_169
330,8.935686136616578,schaefer_330
319,9.161139552850903,schaefer_319
328,9.169082373833794,schaefer_328
116,9.358853089495437,schaefer_116
114,9.482330116289884,schaefer_114
202,9.705571412947489,schaefer_202
205,9.751193207878652,schaefer_205
2,9.754652833320163,schaefer_2
321,9.88278469207684,schaefer_321
379,10.878836430994056,schaefer_379
325,11.568433211570696,schaefer_325
404,12.108804724439608,schaefer_404
403,13.017573180780923,schaefer_403
407,15.25871139258722,schaefer_407
406,15.344891776570192,schaefer_406
415,15.65801869197334,schaefer_415
414,16.135012941582374,schaefer_414
416,16.514779976348425,schaefer_416
417,16.716560138889694,schaefer_417
412,17.724355879867584,schaefer_412
413,18.45669732000288,schaefer_413
411,18.653908629999343,schaefer_411
410,18.76601301838708,schaefer_410
409,19.819498452654127,schaefer_409
405,19.91156523926106,schaefer_405
408,19.991338856079278,schaefer_408
419,23.28746843667716,schaefer_419
418,23.738590099007023,schaefer_418
